depth,blueshift,sigma
0.193,-404.9836115105719,223.64053808222667
0.194,-404.7849678646219,223.06080249275658
0.195,-404.5861701217208,222.4864587972049
0.196,-404.38721376353794,221.91749044687984
0.197,-404.188094271742,221.35388089308978
0.198,-403.9888071280021,220.79561358714307
0.199,-403.7893478139872,220.24267198034786
0.2,-403.58971181136656,219.6950395240125
0.201,-403.3898946018089,219.1526996694453
0.202,-403.18989166698316,218.61563586795455
0.203,-402.9896984885578,218.08383157084856
0.204,-402.7893105482034,217.5572702294356
0.205,-402.58872332758733,217.035935295024
0.206,-402.3879323083788,216.51981021892195
0.207,-402.1869329722475,216.0088784524379
0.208,-401.9857208008624,215.5031234468801
0.209,-401.7842912758915,215.0025286535567
0.21,-401.5826398790049,214.50707752377613
0.211,-401.3807620918708,214.01675350884668
0.212,-401.17865339615855,213.53154006007662
0.213,-400.976309273537,213.05142062877425
0.214,-400.77372520567553,212.57637866624785
0.215,-400.5708966742426,212.10639762380578
0.216,-400.3678191609072,211.64146095275623
0.217,-400.16448814733883,211.18155210440753
0.218,-399.96089911520573,210.726654530068
0.219,-399.75704754617766,210.2767516810459
0.22,-399.552928921923,209.83182700864967
0.221,-399.34853872411077,209.3918639641874
0.222,-399.1438724344107,208.95684599896748
0.223,-398.9389255344905,208.52675656429815
0.224,-398.7336935060206,208.10157911148778
0.225,-398.5281718306686,207.6812970918446
0.226,-398.3223559901045,207.26589395667696
0.227,-398.1162414659964,206.85535315729314
0.228,-397.9098237400144,206.4496581450014
0.229,-397.70309829382654,206.04879237111
0.23,-397.4960606091021,205.65273928692739
0.231,-397.2887061675099,205.26148234376168
0.232,-397.0810304507196,204.8750049929214
0.233,-396.8730289403992,204.49329068571458
0.234,-396.66469711821844,204.11632287344966
0.235,-396.4560304658461,203.74408500743488
0.236,-396.2470244649511,203.37656053897854
0.237,-396.0376745972022,203.01373291938899
0.238,-395.8279763442688,202.65558559997444
0.239,-395.6179251878192,202.30210203204328
0.24,-395.40751660952344,201.95326566690372
0.241,-395.19674609104925,201.6090599558642
0.242,-394.98560911406673,201.2694683502328
0.243,-394.77410116024487,200.93447430131792
0.244,-394.56221771125115,200.60406126042787
0.245,-394.34995424875626,200.27821267887091
0.246,-394.13730625442827,199.95691200795537
0.247,-393.9242692099367,199.6401426989895
0.248,-393.71083859694954,199.32788820328162
0.249,-393.4970098971371,199.02013197214004
0.25,-393.2827785921678,198.71685745687302
0.251,-393.06814016371015,198.4180481087889
0.252,-392.8530900934335,198.12368737919607
0.253,-392.637623863007,197.8337587194025
0.254,-392.42173695409963,197.54824558071678
0.255,-392.20542484838006,197.2671314144471
0.256,-391.9886830275177,196.9903996719017
0.257,-391.77150697318086,196.71803380438905
0.258,-391.55389216703884,196.45001726321723
0.259,-391.3358340907612,196.18633349969465
0.26,-391.1173282260162,195.92696596512965
0.261,-390.8983700544728,195.67189811083045
0.262,-390.6789550578004,195.42111338810534
0.263,-390.4590787176679,195.1745952482627
0.264,-390.23873651574434,194.93232714261072
0.265,-390.0179239336983,194.69429252245772
0.266,-389.7966364531993,194.460474839112
0.267,-389.5748695559155,194.23085754388185
0.268,-389.35261872351714,194.00542408807559
0.269,-389.12987943767223,193.78415792300157
0.27,-388.90664718004973,193.5670424999679
0.271,-388.68291743231896,193.354061270283
0.272,-388.4586856761489,193.14519768525525
0.273,-388.2339473932086,192.9404351961928
0.274,-388.00869806516664,192.73975725440394
0.275,-387.78293317369264,192.54314731119723
0.276,-387.556648200455,192.35058881788058
0.277,-387.3298386271231,192.1620652257624
0.278,-387.10249993536536,191.97755998615116
0.279,-386.87462760685105,191.79705655035497
0.28,-386.6462171232498,191.62053836968218
0.281,-386.4172639662297,191.44798889544109
0.282,-386.18776361746006,191.27939157894005
0.283,-385.95771155860996,191.11472987148724
0.284,-385.7271032713479,190.95398722439114
0.285,-385.4959342373435,190.79714708895983
0.286,-385.2641999382656,190.64419291650174
0.287,-385.0318958557831,190.49510815832508
0.288,-384.79901747156487,190.34987626573817
0.289,-384.5655602672796,190.20848069004936
0.29,-384.3315197245968,190.07090488256685
0.291,-384.09689132518554,189.93713229459897
0.292,-383.8616705507144,189.80714637745407
0.293,-383.6258528828524,189.68093058244042
0.294,-383.3894338032686,189.55846836086624
0.295,-383.1524087936324,189.43974316404007
0.296,-382.91477333561227,189.3247384432699
0.297,-382.6765229108772,189.21343764986412
0.298,-382.43765300109624,189.105824235131
0.299,-382.1981590879385,189.00188165037895
0.3,-381.9580366530728,188.90159334691623
0.301,-381.71728117816804,188.80494277605098
0.302,-381.4758881448937,188.71191338909165
0.303,-381.23385303491796,188.62248863734658
0.304,-380.9911713299108,188.53665197212393
0.305,-380.74783851153995,188.45438684473208
0.306,-380.50385006147576,188.37567670647923
0.307,-380.2592014613864,188.3005050086739
0.308,-380.0138881929407,188.22885520262412
0.309,-379.7679057378083,188.16071073963823
0.31,-379.5212495776577,188.09605507102455
0.311,-379.27391519415823,188.03487164809147
0.312,-379.0258980689781,187.97714392214726
0.313,-378.77719368378735,187.92285534450016
0.314,-378.527797520254,187.87198936645842
0.315,-378.2777050600479,187.82452943933043
0.316,-378.0269117848371,187.78045901442442
0.317,-377.77541317629186,187.7397615430487
0.318,-377.5232047160798,187.7024204765117
0.319,-377.27028188587053,187.6684192661215
0.32,-377.0166401673332,187.63774136318648
0.321,-376.7622750421366,187.61037021901492
0.322,-376.50718199194966,187.5862892849151
0.323,-376.25135649844106,187.5654820121954
0.324,-375.99479404328065,187.54793185216408
0.325,-375.7374901081366,187.53362225612938
0.326,-375.4794401746782,187.5225366753997
0.327,-375.22063972457454,187.51465856128314
0.328,-374.9610842394944,187.50997136508815
0.329,-374.7007692011066,187.50845853812305
0.33,-374.4396900910806,187.51010353169605
0.331,-374.1778423910848,187.5148897971155
0.332,-373.91522158278883,187.52280078568964
0.333,-373.651823147861,187.53381994872677
0.334,-373.3876425679714,187.54793073753524
0.335,-373.1226753247872,187.5651166034233
0.336,-372.85691689997907,187.58536099769924
0.337,-372.59036277521545,187.60864737167137
0.338,-372.3230084321648,187.63495917664795
0.339,-372.0548493524967,187.66427986393734
0.34,-371.78588101788034,187.6965928848478
0.341,-371.5160989099837,187.73188169068763
0.342,-371.24549851047675,187.77012973276516
0.343,-370.97407530102794,187.8113204623886
0.344,-370.70182476330626,187.8554373308663
0.345,-370.42874237898127,187.90246378950647
0.346,-370.15482362972136,187.9523832896176
0.347,-369.88006399719563,188.0051792825078
0.348,-369.60445896307294,188.06083521948543
0.349,-369.32800400902283,188.11933455185874
0.35,-369.0506946167135,188.18066073093607
0.351,-368.77252626781444,188.24479720802574
0.352,-368.4934944439947,188.311727434436
0.353,-368.21359462692294,188.38143486147516
0.354,-367.9328222982681,188.4539029404515
0.355,-367.65117293969934,188.52911512267335
0.356,-367.36864203288553,188.60705485944897
0.357,-367.085225059496,188.68770560208668
0.358,-366.80091750119936,188.7710508018948
0.359,-366.51571483966507,188.85707391018153
0.36,-366.2296125565616,188.9457583782552
0.361,-365.9426061335581,189.0370876574241
0.362,-365.6546910523231,189.13104519899665
0.363,-365.36586279452627,189.22761445428094
0.364,-365.0761168418368,189.32677887458541
0.365,-364.78544867592245,189.42852191121827
0.366,-364.4938537784534,189.53282701548792
0.367,-364.20132763109825,189.63967763870252
0.368,-363.90786571552553,189.7490572321705
0.369,-363.613463513405,189.86094924719998
0.37,-363.31811650640554,189.97533713509952
0.371,-363.0218201761951,190.0922043471771
0.372,-362.7245700044441,190.21153433474123
0.373,-362.4263614728204,190.33331054910013
0.374,-362.1271900629936,190.45751644156223
0.375,-361.8270512566322,190.5841354634356
0.376,-361.5259405354059,190.71315106602862
0.377,-361.22385338098275,190.84454670064963
0.378,-360.9207852750325,190.97830581860686
0.379,-360.6167316992238,191.11441187120866
0.38,-360.31168813522584,191.25284830976335
0.381,-360.00565006470765,191.39359858557913
0.382,-359.69861296933755,191.53664614996435
0.383,-359.3905723307854,191.6819744542273
0.384,-359.0815236307194,191.82956694967623
0.385,-358.771462350809,191.97940708761962
0.386,-358.46038397272343,192.1314783193655
0.387,-358.1482839781312,192.2857640962223
0.388,-357.8351578487012,192.44224786949832
0.389,-357.5210010661027,192.6009130905018
0.39,-357.2058091120043,192.76174321054114
0.391,-356.889577468076,192.9247216809245
0.392,-356.57230161598534,193.08983195296022
0.393,-356.25397703740225,193.25705747795664
0.394,-355.93459921399574,193.42638170722202
0.395,-355.61416362743444,193.59778809206463
0.396,-355.29266575938766,193.77126008379287
0.397,-354.9701010915238,193.94678113371492
0.398,-354.6464651055122,194.1243346931391
0.399,-354.3217532830221,194.30390421337373
0.4,-353.9959611057218,194.4854731457271
0.401,-353.66908405528113,194.66902494150753
0.402,-353.3411176133686,194.85454305202327
0.403,-353.0120572616528,195.04201092858256
0.404,-352.6818984818035,195.23141202249377
0.405,-352.3506367554894,195.4227297850652
0.406,-352.01826756437936,195.61594766760518
0.407,-351.6847863901421,195.81104912142192
0.408,-351.3501887144472,196.00801759782368
0.409,-351.01447001896304,196.2068365481189
0.41,-350.6776257853593,196.40748942361574
0.411,-350.3396514953041,196.60995967562258
0.412,-350.0005426304675,196.81423075544768
0.413,-349.6602946725176,197.02028611439945
0.414,-349.3189031031233,197.22810920378592
0.415,-348.9763634039544,197.43768347491553
0.416,-348.6326710566797,197.64899237909663
0.417,-348.28782154296704,197.86201936763754
0.418,-347.94181034448684,198.0767478918464
0.419,-347.5946329429072,198.2931614030316
0.42,-347.2462848198977,198.51124335250137
0.421,-346.8967614571269,198.7309771915641
0.422,-346.5460583362639,198.95234637152802
0.423,-346.1941709389777,199.17533434370148
0.424,-345.8410947469371,199.3999245593927
0.425,-345.48682524181135,199.62610046991003
0.426,-345.13135790526917,199.85384552656174
0.427,-344.7746882189801,200.08314318065615
0.428,-344.4168116646127,200.31397688350148
0.429,-344.0577237238356,200.5463300864062
0.43,-343.6974198783183,200.78018624067835
0.431,-343.3358956097296,201.0155287976264
0.432,-342.97314639973865,201.25234120855853
0.433,-342.6091677300139,201.49060692478326
0.434,-342.2439550822253,201.73030939760866
0.435,-341.87750393804083,201.97143207834304
0.436,-341.50980977912997,202.2139584182948
0.437,-341.14086808716166,202.45787186877214
0.438,-340.7706743438047,202.70315588108343
0.439,-340.3992240307287,202.94979390653688
0.44,-340.0265126296018,203.19776939644103
0.441,-339.6525356220934,203.44706580210374
0.442,-339.2772884898728,203.69766657483362
0.443,-338.900766714608,203.9495551659389
0.444,-338.52296577796886,204.20271502672787
0.445,-338.14388116162417,204.45712960850892
0.446,-337.7635083472425,204.7127823625901
0.447,-337.3818428164933,204.96965674027993
0.448,-336.9988800510456,205.22773619288657
0.449,-336.614615532568,205.48700417171838
0.45,-336.2290447427298,205.74744412808363
0.451,-335.8421631631998,206.00903951329065
0.452,-335.4539662756469,206.27177377864763
0.453,-335.06444956174033,206.53563037546303
0.454,-334.6736085031491,206.800592755045
0.455,-334.2814385815418,207.0666443687019
0.456,-333.88793527858775,207.33376866774213
0.457,-333.49309407595587,207.60194910347377
0.458,-333.0969104553151,207.87116912720518
0.459,-332.69937989833437,208.14141219024467
0.46,-332.30049788668293,208.4126617439006
0.461,-331.90025990202923,208.68490123948132
0.462,-331.4986614260428,208.9581141282949
0.463,-331.0956979403922,209.2322838616498
0.464,-330.69136492674704,209.50739389085425
0.465,-330.28565786677535,209.78342766721653
0.466,-329.8785722421469,210.06036864204503
0.467,-329.4701035345306,210.338200266648
0.468,-329.06024722559476,210.61690599233364
0.469,-328.64899879700897,210.89646927041036
0.47,-328.23635373044203,211.17687355218644
0.471,-327.8223075075632,211.45810228897008
0.472,-327.4068556100412,211.74013893206984
0.473,-326.98999351954484,212.02296693279365
0.474,-326.57171671774336,212.3065697424499
0.475,-326.15202068630595,212.59093081234707
0.476,-325.730900906901,212.87603359379332
0.477,-325.30835286119805,213.1618615380971
0.478,-324.88437203086556,213.44839809656642
0.479,-324.4589538975729,213.7356267205097
0.48,-324.0320939429888,214.02353086123537
0.481,-323.6037876487827,214.31209397005156
0.482,-323.174030496623,214.60129949826657
0.483,-322.74281796817905,214.8911308971888
0.484,-322.3101455451198,215.1815716181266
0.485,-321.87600870911405,215.472605112388
0.486,-321.440402941831,215.76421483128146
0.487,-321.0033237249393,216.05638422611526
0.488,-320.5647665401087,216.34909674819767
0.489,-320.1247268690071,216.64233584883706
0.49,-319.6832001933041,216.93608497934167
0.491,-319.24018199466866,217.23032759101977
0.492,-318.79566775476985,217.5250471351798
0.493,-318.3496529552762,217.82022706312983
0.494,-317.9021330778572,218.11585082617827
0.495,-317.4531036041813,218.41190187563342
0.496,-317.0025600159182,218.70836366280355
0.497,-316.5504977947362,219.00521963899692
0.498,-316.0969124223048,219.3024532555219
0.499,-315.6417993802926,219.6000479636868
0.5,-315.1851541503687,219.89798721479994
0.501,-314.7269722142021,220.19625446016937
0.502,-314.26724905346185,220.49483315110362
0.503,-313.8059801498167,220.79370673891094
0.504,-313.3431609849361,221.09285867489956
0.505,-312.8787870404887,221.39227241037784
0.506,-312.41285379814366,221.69193139665404
0.507,-311.9453567395693,221.9918190850365
0.508,-311.4762913464354,222.29191892683352
0.509,-311.0056531004107,222.59221437335333
0.51,-310.53343748316394,222.89268887590418
0.511,-310.05963997636445,223.19332588579445
0.512,-309.58425606168095,223.4941088543325
0.513,-309.1072812207825,223.79502123282643
0.514,-308.6287109353381,224.0960464725847
0.515,-308.14854068701715,224.3971680249156
0.516,-307.6667659574879,224.6983693411274
0.517,-307.1833822284195,224.99963387252836
0.518,-306.69838498148124,225.3009450704267
0.519,-306.211769698342,225.60228638613086
0.52,-305.7235318606706,225.90364127094898
0.521,-305.233666950136,226.20499317618953
0.522,-304.7421704484075,226.50632555316068
0.523,-304.24903783715416,226.80762185317084
0.524,-303.75426459804436,227.10886552752828
0.525,-303.25784621274755,227.41004002754116
0.526,-302.7597781629325,227.71112880451784
0.527,-302.26005593026815,228.0121153097666
0.528,-301.75867499642357,228.31298299459584
0.529,-301.25563084306776,228.61371531031375
0.53,-300.75091895186995,228.91429570822865
0.531,-300.2445348044987,229.21470763964902
0.532,-299.73647388262333,229.51493455588283
0.533,-299.2267316679126,229.81495990823845
0.534,-298.71530364203545,230.11476714802433
0.535,-298.20218528666106,230.41433972654863
0.536,-297.68737208345794,230.71366109511976
0.537,-297.1708595140958,231.01271470504588
0.538,-296.65264306024335,231.31148400763539
0.539,-296.1327182035693,231.60995245419667
0.54,-295.6110804257432,231.9081034960377
0.541,-295.08772520843326,232.20592058446707
0.542,-294.56264803330885,232.50338717079288
0.543,-294.0358443820392,232.80048670632354
0.544,-293.5073097362927,233.09720264236734
0.545,-292.9770395777388,233.39351843023255
0.546,-292.44502938804624,233.68941752122743
0.547,-291.91127464888433,233.98488336666048
0.548,-291.37577084192174,234.27989941783974
0.549,-290.83851344882754,234.57444912607352
0.55,-290.2994979512708,234.8685159426702
0.551,-289.75871983092014,235.16208331893807
0.552,-289.21617456944523,235.45513470618536
0.553,-288.6718576485143,235.7476535557205
0.554,-288.1257645497968,236.03962331885165
0.555,-287.5778907549617,236.33102744688733
0.556,-287.0282317456776,236.62184939113553
0.557,-286.4767830036141,236.91207260290463
0.558,-285.92354001043975,237.201680533503
0.559,-285.3684982478235,237.49065663423886
0.56,-284.81165319743445,237.77898435642064
0.561,-284.25300034094147,238.06664715135645
0.562,-283.6925351600137,238.3536284703547
0.563,-283.13025313631994,238.63991176472382
0.564,-282.5661497515292,238.9254804857718
0.565,-282.0002204873109,239.2103180848071
0.566,-281.4324608253335,239.49440801313796
0.567,-280.8628662472663,239.77773372207275
0.568,-280.291432234778,240.0602786629197
0.569,-279.71815426953776,240.3420262869871
0.57,-279.1430278332143,240.62296004558345
0.571,-278.5660484074771,240.90306339001674
0.572,-277.98721147399493,241.18231977159533
0.573,-277.40651251443654,241.46071264162765
0.574,-276.82394701047104,241.73822545142187
0.575,-276.2395104437679,242.01484165228632
0.576,-275.65319829599514,242.29054469552935
0.577,-275.0650060488224,242.5653180324592
0.578,-274.47492918391833,242.83914511438414
0.579,-273.88296318295204,243.1120093926127
0.58,-273.28910352759306,243.38389431845277
0.581,-272.6933456995093,243.6547833432129
0.582,-272.0956851803705,243.92465991820131
0.583,-271.4961174518454,244.19350749472633
0.584,-270.8946379956032,244.4613095240963
0.585,-270.29124229331256,244.72804945761936
0.586,-269.68592582664274,244.9937107466041
0.587,-269.0786840772626,245.25827684235847
0.588,-268.46951252684124,245.5217311961909
0.589,-267.8584066570474,245.78405725940968
0.59,-267.2453619495498,246.04523848332317
0.591,-266.63037388601833,246.30525831923953
0.592,-266.0134379481212,246.56410021846722
0.593,-265.3945496175279,246.8217476323144
0.594,-264.7737043759071,247.07818401208942
0.595,-264.1508977049278,247.33339280910073
0.596,-263.52612508625833,247.58735747465633
0.597,-262.8993820015691,247.84006146006467
0.598,-262.27066393252784,248.09148821663396
0.599,-261.63996636080464,248.3416211956726
0.6,-261.0072847680672,248.5904438484888
0.601,-260.37261463598566,248.83793962639095
0.602,-259.7359514462282,249.08409198068748
0.603,-259.09729068046425,249.32888436268624
0.604,-258.4566278203627,249.57230022369586
0.605,-257.8139583475925,249.8143230150245
0.606,-257.1692777438224,250.05493618798053
0.607,-256.5225814907218,250.29412319387222
0.608,-255.8738650699595,250.53186748400788
0.609,-255.22312396320433,250.76815250969594
0.61,-254.57035365212573,251.00296172224424
0.611,-253.91554961839216,251.2362785729617
0.612,-253.25870734367288,251.46808651315612
0.613,-252.5998223096364,251.698368994136
0.614,-251.9388899979523,251.92710946720956
0.615,-251.27590589028938,252.15429138368515
0.616,-250.61086546831643,252.37989819487103
0.617,-249.94376421370282,252.60391335207555
0.618,-249.2745976081173,252.8263203066072
0.619,-248.60336113322865,253.04710250977377
0.62,-247.9300502707061,253.26624341288388
0.621,-247.25466050221848,253.48372646724576
0.622,-246.57718730943503,253.6995351241677
0.623,-245.89762617402477,253.91365283495804
0.624,-245.21597257765598,254.12606305092504
0.625,-244.53222200199838,254.33674922337718
0.626,-243.84636992872095,254.5456948036224
0.627,-243.15841183949254,254.7528832429692
0.628,-242.4683432159818,254.95829799272582
0.629,-241.77615953985782,255.16192250420056
0.63,-241.08185629278972,255.36374022870177
0.631,-240.38542895644667,255.56373461753768
0.632,-239.68687301249707,255.76188912201658
0.633,-238.9861839426107,255.95818719344686
0.634,-238.28335722845554,256.1526122831369
0.635,-237.57838835170185,256.3451478423947
0.636,-236.8712727940175,256.53577732252865
0.637,-236.16200603707193,256.72448417484713
0.638,-235.45058356253412,256.91125185065835
0.639,-234.73700085207275,257.0960638012707
0.64,-234.02125338735726,257.2789034779924
0.641,-233.30333665005662,257.459754332132
0.642,-232.5832461218394,257.6385998149973
0.643,-231.86097728437477,257.81542337789693
0.644,-231.13652561933174,257.99020847213905
0.645,-230.4098866083798,258.1629385490321
0.646,-229.68105573318695,258.33359705988426
0.647,-228.95002847542253,258.5021674560038
0.648,-228.2168003167559,258.6686331886992
0.649,-227.4813667388554,258.8329777092785
0.65,-226.74372322339082,258.99518446905034
0.651,-226.0038652520305,259.15523691932265
0.652,-225.26178830644352,259.31311851140384
0.653,-224.51748786829904,259.4688126966022
0.654,-223.7709594192658,259.62230292622615
0.655,-223.0221984410132,259.7735726515838
0.656,-222.27120041520993,259.9226053239836
0.657,-221.5179608235249,260.0693843947339
0.658,-220.76247514762753,260.21389331514274
0.659,-220.00473886918581,260.35611553651853
0.66,-219.24474746987005,260.49603451016964
0.661,-218.48249643134818,260.6336336874042
0.662,-217.71798123529015,260.7688965195307
0.663,-216.95119736336392,260.90180645785733
0.664,-216.1821402972388,261.03234695369235
0.665,-215.41080551858397,261.1605014583442
0.666,-214.63718850906827,261.28625342312125
