species,wav_air,excit_pot,vmic,log_gf,rad,stark,waals,lande,depth
Fe 1,3004.0737,3.2515,1.0,-1.617,8.15,-3.43,-7.17,1.33,0.893
Fe 1,3004.1133,2.4327,1.0,-1.382,8.04,-6.08,-7.79,0.93,0.96
Fe 2,3004.2555,3.8143,1.0,-2.163,8.59,-6.51,-7.888,0.94,0.815
OH 1,3004.3229,1.5082,1.0,-1.665,0.0,0.0,0.0,99.0,0.263
Ca 1,3004.3736,1.8793,1.0,-1.998,6.72,-2.33,-6.44,0.5,0.737
Cr 2,3004.4647,4.41,1.0,-1.695,8.41,-6.49,-7.863,0.41,0.302
Fe 1,3004.4821,2.2227,1.0,-4.255,7.54,-6.14,-7.81,-0.05,0.159
Fe 1,3004.6282,1.5574,1.0,-2.237,7.8,-6.08,-7.81,1.27,0.967
Fe 1,3004.6859,3.2515,1.0,-3.171,7.42,-3.41,-7.08,1.71,0.191
Cr 2,3004.7465,6.1363,1.0,-0.827,8.82,-5.69,-7.417,1.55,0.089
V 1,3004.8259,1.0636,1.0,-1.191,8.23,-5.16,-7.57,1.15,0.072
Fe 1,3004.8529,2.998,1.0,-3.377,7.63,-4.44,-7.3,2.5,0.203
Fe 1,3005.014,2.8325,1.0,-3.239,7.45,-4.41,-7.35,1.44,0.356
Cr 1,3005.061,1.03,1.0,-0.25,8.25,-5.98,-7.558,1.5,0.974
Gd 2,3005.111,0.427,1.0,-0.808,0.0,0.0,0.0,1.86,0.053
Cr 1,3005.1919,3.8887,1.0,-1.034,7.45,-2.43,-6.62,1.3,0.054
OH 1,3005.2769,1.2972,1.0,-2.095,0.0,0.0,0.0,99.0,0.159
Fe 1,3005.3025,2.4041,1.0,-1.224,8.05,-6.08,-7.79,1.1,0.966
Ti 1,3005.364,1.4601,1.0,-1.442,7.67,-4.72,-7.42,1.23,0.152
Ni 2,3005.4556,2.8651,1.0,-3.864,8.55,-6.63,-7.91,0.33,0.149
OH 1,3005.4691,1.0954,1.0,-2.222,0.0,0.0,0.0,99.0,0.192
Zr 1,3005.5,0.999,1.0,0.25,0.0,0.0,0.0,1.0,0.078
Fe 1,3005.5724,3.5465,1.0,-3.003,7.75,-3.45,-7.06,1.18,0.148
Cr 1,3005.5744,3.0922,1.0,-1.312,8.16,-4.49,-7.59,1.69,0.148
Fe 1,3005.7228,2.5881,1.0,-1.907,7.68,-4.34,-7.47,1.02,0.927
Co 1,3005.7653,1.8826,1.0,-1.073,8.18,-5.98,-7.77,1.43,0.774
Fe 1,3005.7825,2.8316,1.0,-2.697,8.04,-6.13,-7.78,0.22,0.71
V 2,3005.8117,2.3722,1.0,-0.543,8.41,-6.49,-7.85,0.76,0.671
Cr 1,3005.8418,2.5446,1.0,-1.634,7.64,-4.43,-7.48,0.76,0.225
