species,wav_air,excit_pot,vmic,log_gf,rad,stark,waals,lande,depth
Nd 2,3290.648,0.0636,1.0,-1.0,0.0,0.0,0.0,0.45,0.116
Ni 2,3290.6827,2.9504,1.0,-3.016,8.56,-6.62,-7.93,1.31,0.491
Fe 1,3290.7113,2.1759,1.0,-1.916,7.91,-5.71,-7.78,0.66,0.93
Mn 1,3290.972,2.1427,1.0,-2.58,6.93,-5.09,-7.58,1.12,0.15
Fe 1,3290.9881,2.2227,1.0,-1.211,8.4,-5.75,-7.645,0.64,0.958
Tm 2,3290.999,0.0,1.0,-0.37,0.0,0.0,0.0,1.18,0.125
V 2,3291.0337,2.2756,1.0,-1.856,8.47,-6.51,-7.85,0.6,0.083
Mg 1,3291.059,6.5879,1.0,-1.5,0.0,0.0,0.0,99.0,0.089
Fe 1,3291.1205,3.241,1.0,-2.372,7.57,-4.4,-7.33,1.2,0.634
Fe 1,3291.1735,2.5592,1.0,-4.339,7.67,-4.84,-7.45,1.74,0.064
Fe 1,3291.2829,3.6537,1.0,-2.617,7.81,-4.01,-7.18,1.37,0.254
Cr 1,3291.3962,3.079,1.0,-1.609,8.0,-6.09,-7.75,1.33,0.078
Fe 1,3291.4419,3.274,1.0,-2.311,7.34,-4.37,-7.33,2.26,0.649
V 1,3291.6761,0.0401,1.0,-2.12,7.89,-6.13,-7.772,1.08,0.085
OH 1,3291.6799,1.6116,1.0,-1.491,0.0,0.0,0.0,99.0,0.293
Fe 1,3291.7076,3.0173,1.0,-2.931,7.86,-5.06,-7.51,1.14,0.424
Cr 2,3291.763,4.2972,1.0,-0.599,8.21,-6.46,-7.858,1.33,0.772
Fe 1,3292.0206,3.2515,1.0,-0.074,8.22,-5.17,-7.782,0.87,0.954
Fe 1,3292.0329,3.0176,1.0,-1.422,7.86,-5.06,-7.51,0.72,0.899
Ti 1,3292.0763,0.8995,1.0,-0.2,8.15,-5.5,-7.69,0.86,0.89
Co 1,3292.0813,2.008,1.0,-0.997,8.2,-5.76,-7.76,0.92,0.719
Gd 2,3292.216,1.1016,1.0,0.191,0.0,0.0,0.0,1.69,0.108
Co 1,3292.4127,2.28,1.0,-2.035,7.76,-5.48,-7.81,1.51,0.086
Fe 1,3292.4872,3.283,1.0,-3.449,7.77,-4.04,-7.29,2.13,0.093
Fe 1,3292.5893,2.2227,1.0,-0.89,8.44,-5.75,-7.329,2.36,0.967
OH 1,3292.5914,1.3616,1.0,-2.207,0.0,0.0,0.0,99.0,0.114
Co 1,3292.6882,3.0535,1.0,-1.253,8.09,-4.78,-7.49,1.42,0.09
Cu 1,3292.823,1.3889,1.0,-3.744,0.0,0.0,0.0,99.0,0.05
Cu 1,3292.823,1.3889,1.0,-3.393,0.0,0.0,0.0,99.0,0.108
Fe 1,3292.9158,3.6416,1.0,-2.392,8.03,-3.71,-7.26,0.82,0.382
Fe 1,3293.1402,1.6079,1.0,-3.118,7.06,-6.21,-7.83,0.35,0.891
V 2,3293.1499,4.2438,1.0,-0.176,8.4,-6.45,-7.86,0.97,0.061
Co 1,3293.2111,3.016,1.0,-0.451,8.09,-5.22,-7.49,0.87,0.446
Sm 2,3293.37,0.2484,1.0,-0.99,0.0,0.0,0.0,1.25,0.052
Fe 1,3293.4533,3.6864,1.0,-2.327,7.96,-3.79,-7.18,0.56,0.394
Ti 2,3293.4757,1.2369,1.0,-2.391,8.35,-6.47,-7.86,1.66,0.725
Ni 1,3293.6621,3.399,1.0,-0.558,8.07,-5.0,-7.49,1.49,0.847
Fe 1,3293.7662,3.6537,1.0,-2.183,7.78,-3.52,-7.13,0.99,0.502
Nd 2,3293.817,1.5946,1.0,0.21,0.0,0.0,0.0,0.62,0.057
Cr 1,3293.8326,3.4488,1.0,-0.675,8.21,-4.8,-7.57,0.98,0.254
Co 1,3293.8625,2.0802,1.0,-1.202,8.22,-6.26,-7.79,1.08,0.557
Dy 2,3293.875,2.1086,1.0,0.793,0.0,0.0,0.0,0.95,0.073
Co 1,3294.4442,3.0665,1.0,-1.325,8.25,-5.38,-7.52,1.24,0.072
Cr 1,3294.4699,3.1128,1.0,-1.547,8.29,-6.18,-7.73,1.14,0.081
Fe 1,3294.6123,3.3683,1.0,-1.971,7.67,-4.64,-7.32,1.59,0.758
Nd 2,3294.657,0.2046,1.0,-1.02,0.0,0.0,0.0,0.86,0.077
Ti 1,3294.8935,2.3179,1.0,-0.065,8.38,-4.35,-7.4,1.5,0.404
Zr 2,3295.02,0.7578,1.0,-1.5,0.0,0.0,0.0,0.94,0.213
Fe 2,3295.0582,3.9442,1.0,-3.599,8.51,-6.62,-7.81,0.94,0.129
Fe 1,3295.1077,3.241,1.0,-2.739,7.56,-4.18,-7.33,1.48,0.407
Fe 2,3295.2374,3.8916,1.0,-2.26,8.67,-6.53,-7.89,1.52,0.722
Ce 2,3295.2867,0.4954,1.0,-0.27,0.0,0.0,0.0,0.64,0.17
Cr 2,3295.423,4.1775,1.0,-0.648,8.44,-6.45,-7.869,1.12,0.787
Sm 2,3295.439,0.5438,1.0,-0.544,0.0,0.0,0.0,1.43,0.073
Mn 1,3295.5466,2.1142,1.0,-1.44,6.97,-4.73,-7.56,1.29,0.764
OH 1,3295.6199,1.8005,1.0,-1.781,0.0,0.0,0.0,99.0,0.111
Fe 1,3295.6426,3.6025,1.0,-2.338,7.85,-4.59,-7.26,1.41,0.436
Ti 1,3295.6499,2.2968,1.0,-0.741,8.39,-4.38,-7.4,1.53,0.114
Sm 2,3295.81,0.1039,1.0,-0.93,0.0,0.0,0.0,1.29,0.082
Fe 2,3295.817,1.0762,1.0,-2.9,8.47,-6.5,-7.899,1.53,0.968
Mn 1,3295.8247,4.6395,1.0,0.215,8.45,-5.81,-7.77,1.26,0.314
Mn 1,3296.028,2.1637,1.0,-1.83,6.76,-5.41,-7.66,0.9,0.525
Fe 1,3296.0431,3.6398,1.0,-3.173,7.39,-3.76,-7.26,1.18,0.081
Fe 1,3296.1058,3.2515,1.0,-3.297,6.92,-4.3,-7.26,1.55,0.14
Ce 2,3296.1818,0.9,1.0,-0.42,0.0,0.0,0.0,1.14,0.05
Ti 1,3296.1992,2.3179,1.0,-0.805,8.38,-4.19,-7.4,1.55,0.093
Fe 2,3296.2324,3.8143,1.0,-3.82,8.47,-6.51,-7.894,0.76,0.103
OH 1,3296.2366,1.3654,1.0,-2.245,0.0,0.0,0.0,99.0,0.101
Ni 1,3296.2611,3.399,1.0,-1.105,8.22,-4.89,-7.53,1.26,0.712
Dy 2,3296.302,1.5715,1.0,0.26,0.0,0.0,0.0,1.27,0.066
OH 1,3296.323,1.5037,1.0,-1.772,0.0,0.0,0.0,99.0,0.208
Ti 1,3296.3651,2.2363,1.0,-0.69,8.61,-5.82,-7.59,0.5,0.145
OH 1,3296.3772,2.0953,1.0,-1.38,0.0,0.0,0.0,99.0,0.144
Zr 2,3296.401,0.9591,1.0,-0.99,0.0,0.0,0.0,1.54,0.376
Fe 1,3296.4634,2.5881,1.0,-2.028,7.54,-6.14,-7.81,1.34,0.889
Fe 1,3296.5159,2.6085,1.0,-3.4,7.71,-5.52,-7.66,1.53,0.381
Fe 1,3296.802,3.3014,1.0,-1.54,8.25,-6.21,-7.73,0.93,0.859
Fe 2,3296.8342,3.9674,1.0,-2.873,8.47,-6.65,-7.803,1.05,0.429
Fe 1,3296.8472,2.8325,1.0,-3.871,7.99,-4.35,-7.52,0.89,0.096
Mn 1,3296.8797,2.1637,1.0,-1.72,7.06,-5.97,-7.789,1.52,0.595
Fe 1,3296.9421,2.6085,1.0,-3.936,7.72,-4.94,-7.49,2.16,0.137
Ti 1,3297.0855,2.3054,1.0,-0.698,8.38,-4.32,-7.4,1.52,0.122
Co 1,3297.2156,3.0535,1.0,-1.179,8.24,-4.84,-7.53,0.43,0.103
Ti 1,3297.2548,2.2916,1.0,-0.959,8.4,-4.44,-7.41,1.65,0.071
Cr 1,3297.3236,3.079,1.0,-1.536,8.19,-6.16,-7.74,0.54,0.088
Cr 1,3297.4781,4.4464,1.0,-0.261,8.49,-4.47,-7.55,1.1,0.082
V 2,3297.5113,2.4991,1.0,-1.048,8.36,-6.44,-7.86,0.49,0.278
Fe 2,3297.879,3.9442,1.0,-2.166,8.47,-6.62,-7.802,0.74,0.733
Sm 2,3298.06,0.3785,1.0,-0.75,0.0,0.0,0.0,1.35,0.065
Fe 1,3298.1319,2.2227,1.0,-1.133,8.07,-5.59,-7.817,0.65,0.96
Fe 1,3298.1325,3.6537,1.0,-1.768,7.75,-3.78,-7.12,1.75,0.726
V 1,3298.1473,0.0686,1.0,-1.25,7.69,-6.14,-7.769,0.93,0.432
Ti 2,3298.1804,1.161,1.0,-2.808,8.42,-6.53,-7.84,1.65,0.54
Mn 1,3298.2237,3.3725,1.0,-0.74,8.09,-5.74,-7.586,1.29,0.462
Fe 1,3298.2406,3.6025,1.0,-2.507,7.77,-3.98,-7.25,2.17,0.336
OH 1,3298.3203,1.8031,1.0,-1.802,0.0,0.0,0.0,99.0,0.104
Fe 1,3298.3701,2.8325,1.0,-3.62,8.0,-4.69,-7.52,1.62,0.168
Fe 1,3298.532,3.4302,1.0,-3.033,8.15,-5.33,-7.33,2.29,0.17
Fe 1,3298.5566,3.2112,1.0,-1.873,7.57,-4.35,-7.34,1.47,0.824
Fe 1,3298.5718,3.6416,1.0,-3.201,7.44,-4.3,-7.29,1.23,0.074
Co 1,3298.6769,2.008,1.0,-0.927,8.28,-5.57,-7.75,1.42,0.749
OH 1,3298.7026,2.0973,1.0,-1.395,0.0,0.0,0.0,99.0,0.137
V 2,3298.7378,1.128,1.0,-0.97,8.31,-6.44,-7.85,1.12,0.873
Fe 1,3299.0748,3.3965,1.0,-2.72,8.19,-4.87,-7.32,1.59,0.327
Mn 1,3299.1194,2.1637,1.0,-2.106,6.8,-5.61,-7.73,1.74,0.35
Fe 1,3299.1291,3.6864,1.0,-2.618,7.8,-3.77,-7.12,1.06,0.236
OH 1,3299.3861,1.5066,1.0,-1.796,0.0,0.0,0.0,99.0,0.196
Ti 1,3299.4123,0.8995,1.0,-0.84,8.11,-4.97,-7.68,0.52,0.769
Ti 2,3299.4295,0.1126,1.0,-2.941,8.15,-6.59,-7.85,1.22,0.882
Fe 1,3299.5058,1.5574,1.0,-3.934,7.5,-6.15,-7.82,0.35,0.7
Fe 1,3299.6091,3.6537,1.0,-1.988,7.76,-3.52,-7.13,1.87,0.619
Nd 2,3300.143,0.0,1.0,-0.59,0.0,0.0,0.0,0.0,0.292
Ce 2,3300.1524,0.7215,1.0,-0.55,0.0,0.0,0.0,1.2,0.053
V 2,3300.8986,2.2682,1.0,-1.97,8.45,-6.51,-7.85,0.21,0.066
Nd 2,3300.902,0.4714,1.0,-0.46,0.0,0.0,0.0,1.51,0.155
Cr 2,3301.2006,4.9376,1.0,-1.184,8.44,-6.5,-7.847,1.12,0.285
Fe 1,3301.2186,2.845,1.0,-1.395,8.26,-5.8,-7.73,1.38,0.913
Fe 1,3301.4168,3.332,1.0,-1.921,7.68,-4.65,-7.32,1.52,0.785
Fe 1,3301.4533,2.1759,1.0,-4.053,7.59,-6.03,-7.82,2.86,0.255
Os 1,3301.567,0.0,1.0,-0.74,0.0,0.0,0.0,1.53,0.459
Ti 2,3301.6727,1.1649,1.0,-1.91,8.42,-6.53,-7.84,2.01,0.864
Sm 2,3301.68,0.4847,1.0,-0.79,0.0,0.0,0.0,1.94,0.05
OH 1,3301.8511,1.7184,1.0,-1.458,0.0,0.0,0.0,99.0,0.257
Fe 2,3301.8581,3.8143,1.0,-4.146,8.55,-6.51,-7.9,1.02,0.051
Pt 1,3301.8593,0.8143,1.0,-0.91,0.0,0.0,0.0,1.13,0.241
Fe 1,3301.9132,3.2367,1.0,-1.748,8.24,-6.12,-7.78,1.51,0.84
Ti 2,3302.0953,0.1507,1.0,-2.34,8.16,-6.59,-7.85,1.66,0.933
OH 1,3302.0956,1.4259,1.0,-2.181,0.0,0.0,0.0,99.0,0.104
Pd 1,3302.127,1.2515,1.0,-0.01,0.0,0.0,0.0,0.66,0.502
Cr 1,3302.2029,3.1216,1.0,-0.723,8.29,-6.18,-7.73,0.99,0.399
Na 1,3302.3686,0.0,1.0,-1.745,0.0,0.0,0.0,99.0,0.923
Tm 2,3302.4525,0.0294,1.0,-0.66,0.0,0.0,0.0,1.57,0.062
Zn 1,3302.584,4.0297,1.0,-0.057,0.0,0.0,0.0,99.0,0.86
Zr 2,3302.649,1.236,1.0,-1.01,0.0,0.0,0.0,1.18,0.226
Fe 2,3302.7178,4.4948,1.0,-3.423,8.67,-6.51,-7.89,1.1,0.065
Fe 2,3302.857,1.0405,1.0,-3.51,8.47,-6.5,-7.9,1.86,0.948
Cr 1,3302.8676,3.079,1.0,-1.091,8.03,-5.99,-7.76,0.94,0.227
Fe 1,3302.9365,3.0173,1.0,-3.943,8.05,-4.63,-7.44,1.56,0.057
Zn 1,3302.941,4.0297,1.0,-0.534,0.0,0.0,0.0,99.0,0.791
Fe 1,3302.9715,3.6864,1.0,-3.118,7.76,-3.7,-7.11,1.15,0.084
Na 1,3302.9785,0.0,1.0,-2.05,0.0,0.0,0.0,99.0,0.903
La 2,3303.11,0.235,1.0,-0.9,0.0,0.0,0.0,1.0,0.186
Re 2,3303.207,1.8452,1.0,0.69,0.0,0.0,0.0,1.02,0.094
Fe 1,3303.241,3.0173,1.0,-3.448,8.12,-5.27,-7.68,0.36,0.167
Mn 1,3303.2788,3.3783,1.0,-0.9,8.09,-5.74,-7.585,1.87,0.366
Fe 2,3303.465,1.0969,1.0,-2.7,8.47,-6.5,-7.898,1.65,0.972
Fe 1,3303.53,2.1759,1.0,-2.217,7.52,-6.08,-7.81,0.15,0.91
Fe 1,3303.5686,3.0176,1.0,-1.777,8.12,-5.27,-7.68,0.84,0.866
Fe 1,3303.7255,3.6537,1.0,-2.904,7.76,-4.4,-7.12,1.63,0.142
Co 1,3303.8208,2.008,1.0,-2.184,7.96,-6.09,-7.79,0.42,0.109
Er 2,3303.876,1.6193,1.0,0.643,0.0,0.0,0.0,1.22,0.12
Co 1,3303.8801,1.7853,1.0,-1.384,7.36,-6.21,-7.81,1.43,0.627
Er 2,3303.953,1.701,1.0,0.723,0.0,0.0,0.0,1.17,0.119
Co 1,3304.1196,3.0665,1.0,-0.454,8.18,-4.82,-7.47,1.1,0.412
Fe 1,3304.2026,3.283,1.0,-2.761,7.53,-4.31,-7.33,1.42,0.37
Fe 1,3304.3575,3.417,1.0,-2.774,8.16,-4.99,-7.33,1.83,0.288
Fe 2,3304.4279,3.9442,1.0,-2.707,8.49,-6.63,-7.811,1.62,0.525
V 2,3304.4666,2.5444,1.0,-1.136,8.29,-6.51,-7.86,1.38,0.219
Sm 2,3304.517,0.0,1.0,-1.112,0.0,0.0,0.0,3.9,0.069
Fe 1,3304.5853,3.332,1.0,-2.659,7.8,-5.0,-7.29,1.41,0.401
Cr 2,3304.7288,4.7745,1.0,-1.956,8.41,-6.5,-7.854,1.03,0.083
OH 1,3304.7476,1.7211,1.0,-1.476,0.0,0.0,0.0,99.0,0.246
Fe 1,3304.7572,3.332,1.0,-3.382,7.79,-4.3,-7.29,1.15,0.096
Co 1,3304.7913,2.3278,1.0,-1.86,7.73,-6.18,-7.8,1.2,0.112
Ce 2,3304.8425,0.7037,1.0,-0.61,0.0,0.0,0.0,1.53,0.051
Mn 1,3304.8758,4.2729,1.0,-0.296,8.13,-5.46,-7.67,1.04,0.233
Ni 1,3304.9493,3.4195,1.0,-0.19,8.23,-5.02,-7.53,1.26,0.881
Co 1,3305.1054,3.1047,1.0,-0.557,8.19,-5.16,-7.54,1.32,0.33
Zr 2,3305.152,0.039,1.0,-0.65,0.0,0.0,0.0,1.27,0.895
Sm 2,3305.19,0.3334,1.0,-0.89,0.0,0.0,0.0,1.25,0.053
Cr 1,3305.2465,3.1128,1.0,-1.549,8.02,-6.07,-7.75,0.87,0.08
Fe 1,3305.3166,3.6025,1.0,-3.305,8.22,-4.02,-7.34,0.38,0.065
Dy 2,3305.4,1.8468,1.0,0.526,0.0,0.0,0.0,1.6,0.069
Dy 2,3305.512,1.9255,1.0,0.603,0.0,0.0,0.0,1.32,0.069
Er 2,3305.566,0.8921,1.0,-0.28,0.0,0.0,0.0,1.0,0.073
Fe 2,3305.6127,3.9034,1.0,-3.444,8.67,-6.53,-7.89,1.41,0.191
OH 1,3305.6396,1.4295,1.0,-2.216,0.0,0.0,0.0,99.0,0.094
OH 1,3305.6914,1.8848,1.0,-1.762,0.0,0.0,0.0,99.0,0.097
Cr 1,3305.7274,3.5561,1.0,-1.317,8.01,-6.11,-7.73,0.99,0.051
Co 1,3305.7276,3.1047,1.0,-0.491,8.22,-4.89,-7.53,1.21,0.368
Fe 1,3305.7657,1.6079,1.0,-4.012,7.84,-6.17,-7.82,0.5,0.624
Fe 1,3305.8142,3.283,1.0,-2.841,7.57,-4.07,-7.31,1.85,0.322
Fe 1,3305.8521,3.0385,1.0,-2.85,7.23,-4.77,-7.34,2.0,0.459
Fe 1,3305.9706,2.1979,1.0,-0.333,8.6,-5.56,-7.341,1.47,0.978
Ti 2,3306.0226,1.161,1.0,-2.1,8.26,-6.5,-7.85,0.86,0.833
Fe 1,3306.0811,2.9904,1.0,-1.909,7.93,-6.0,-7.5,0.85,0.854
Fe 1,3306.1391,3.6025,1.0,-2.035,8.33,-3.62,-7.37,1.3,0.62
Dy 2,3306.193,2.1817,1.0,0.935,0.0,0.0,0.0,1.61,0.084
Fe 2,3306.2654,3.7677,1.0,-3.483,8.6,-6.51,-7.894,1.56,0.223
Zr 2,3306.275,0.039,1.0,-0.462,0.0,0.0,0.0,1.03,0.914
Fe 1,3306.3396,3.0469,1.0,-0.072,7.82,-6.22,-7.78,1.0,0.961
Fe 1,3306.3548,2.2227,1.0,-0.402,8.37,-5.75,-7.334,1.36,0.977
Sm 2,3306.38,0.4847,1.0,0.08,0.0,0.0,0.0,1.49,0.304
Fe 1,3306.3875,3.6864,1.0,-3.309,8.02,-3.61,-7.12,1.39,0.053
Co 1,3306.4048,3.016,1.0,-0.622,8.13,-6.05,-7.51,1.58,0.342
Fe 1,3306.4822,3.3009,1.0,-0.979,8.17,-5.97,-7.68,0.93,0.905
Fe 1,3306.5868,2.9488,1.0,-1.745,7.78,-4.72,-7.49,1.21,0.877
Ce 2,3306.6319,0.7401,1.0,-0.3,0.0,0.0,0.0,0.43,0.094
Fe 1,3306.8751,3.417,1.0,-2.45,7.67,-4.7,-7.32,0.9,0.477
Ti 1,3306.88,2.1344,1.0,0.22,8.64,-5.4,-7.66,1.12,0.682
Cr 2,3306.9545,4.9441,1.0,-0.526,8.44,-6.55,-7.774,1.13,0.591
Ni 2,3306.9644,3.0733,1.0,-3.894,8.59,-6.63,-7.92,-0.07,0.082
Mn 1,3306.9988,3.3825,1.0,-1.21,8.09,-5.74,-7.585,1.83,0.205
Fe 1,3307.0056,2.9488,1.0,-2.498,6.7,-6.17,-7.81,1.28,0.716
Ni 1,3307.015,3.4195,1.0,-0.756,8.23,-4.98,-7.53,1.26,0.809
Sm 2,3307.027,0.6593,1.0,-0.065,0.0,0.0,0.0,1.43,0.165
Cr 2,3307.042,4.1682,1.0,-0.712,8.43,-6.45,-7.869,1.03,0.774
Co 1,3307.1556,1.9557,1.0,-0.655,7.83,-6.19,-7.8,1.59,0.843
Ce 2,3307.2279,0.3267,1.0,-0.87,0.0,0.0,0.0,1.07,0.064
Fe 1,3307.2333,3.2367,1.0,-0.377,8.21,-6.09,-7.78,1.17,0.942
Co 1,3307.4739,2.28,1.0,-2.036,8.15,-6.25,-7.79,0.11,0.083
Fe 2,3307.5705,3.8143,1.0,-3.962,8.48,-6.51,-7.894,0.88,0.073
Fe 1,3307.6858,2.998,1.0,-2.827,7.51,-4.92,-7.36,1.74,0.498
Ti 2,3307.721,0.122,1.0,-2.66,8.15,-6.59,-7.85,0.95,0.91
Cr 1,3307.7443,2.7079,1.0,-1.466,6.99,-6.14,-7.8,1.35,0.218
Ti 1,3307.9445,2.2556,1.0,-0.873,7.28,-3.87,-7.32,1.09,0.091
Cu 1,3307.9446,5.0721,1.0,0.569,8.27,-5.22,-7.53,1.14,0.247
Cu 1,3307.945,5.0721,1.0,0.129,0.0,0.0,0.0,99.0,0.099
Cu 1,3307.945,5.0721,1.0,0.48,0.0,0.0,0.0,99.0,0.21
Mn 1,3308.0462,4.2729,1.0,-0.825,7.96,-5.67,-7.71,1.48,0.074
OH 1,3308.1003,1.5946,1.0,-1.753,0.0,0.0,0.0,99.0,0.182
Cr 2,3308.1364,4.9202,1.0,-1.094,8.42,-6.5,-7.849,0.9,0.331
OH 1,3308.3404,1.8873,1.0,-1.781,0.0,0.0,0.0,99.0,0.091
Ti 1,3308.3937,1.046,1.0,-0.53,8.32,-5.75,-7.65,0.54,0.818
V 2,3308.4791,2.5444,1.0,-1.457,8.43,-6.53,-7.86,0.99,0.11
Co 1,3308.4838,3.0665,1.0,-0.244,8.2,-4.09,-7.53,0.74,0.544
Fe 1,3308.6128,2.8325,1.0,-3.416,7.99,-3.96,-7.52,1.43,0.249
Co 1,3308.6799,3.1285,1.0,-0.713,8.05,-5.57,-7.42,0.77,0.235
Co 1,3308.6867,2.0421,1.0,-1.338,8.17,-6.11,-7.76,1.23,0.49
Fe 1,3308.7349,3.6946,1.0,-2.744,8.0,-3.41,-7.26,1.03,0.182
Fe 1,3308.7431,2.4041,1.0,-1.994,8.01,-6.08,-7.78,1.38,0.906
Fe 1,3308.7605,2.7275,1.0,-3.59,8.21,-5.73,-7.72,0.65,0.216
Fe 1,3308.7827,3.2112,1.0,-1.842,7.64,-4.41,-7.35,1.16,0.829
Mn 1,3308.784,2.1782,1.0,-2.1,6.76,-5.41,-7.66,2.27,0.345
Dy 2,3308.793,1.5295,1.0,0.552,0.0,0.0,0.0,1.34,0.142
Ti 2,3308.8034,0.1348,1.0,-1.24,8.39,-6.5,-7.84,1.5,0.976
Co 1,3308.808,3.0665,1.0,-0.618,8.01,-4.97,-7.45,1.4,0.315
Dy 2,3308.88,1.3135,1.0,0.737,0.0,0.0,0.0,1.04,0.308
Cr 1,3308.98,3.0922,1.0,-1.698,8.19,-6.2,-7.74,0.93,0.058
Co 1,3309.0202,2.5418,1.0,-1.945,7.97,-5.52,-7.75,0.62,0.055
V 1,3309.1762,1.1948,1.0,-0.78,8.26,-6.04,-7.564,1.85,0.122
Ni 1,3309.4245,3.5972,1.0,-1.682,8.19,-4.32,-7.27,-0.03,0.276
Ti 1,3309.4963,1.0529,1.0,-0.19,8.31,-5.89,-7.65,0.99,0.872
Sm 2,3309.511,0.1039,1.0,-1.013,0.0,0.0,0.0,1.7,0.066
Cr 1,3309.5128,2.9135,1.0,-0.57,8.34,-4.94,-7.53,1.13,0.614
Ti 2,3309.5315,1.1649,1.0,-1.69,8.26,-6.5,-7.85,1.48,0.888
Ti 1,3309.72,2.1171,1.0,0.06,8.64,-5.43,-7.66,1.12,0.602
Cr 1,3309.8301,3.0869,1.0,-1.23,8.03,-5.99,-7.76,1.24,0.168
Zr 2,3309.891,0.9718,1.0,-1.26,0.0,0.0,0.0,1.1,0.225
Fe 1,3309.9735,4.2562,1.0,-2.437,8.45,-4.0,-7.14,0.4,0.109
Ni 1,3310.201,0.4228,1.0,-2.92,8.16,-6.14,-7.744,0.99,0.934
Fe 1,3310.3411,2.9488,1.0,-1.166,8.14,-6.06,-7.77,1.22,0.919
Nd 2,3310.36,0.4714,1.0,-0.61,0.0,0.0,0.0,1.71,0.111
Fe 1,3310.4674,2.998,1.0,-3.44,7.89,-4.7,-7.46,1.38,0.178
Fe 1,3310.4732,3.4149,1.0,-3.279,7.56,-4.87,-7.27,1.54,0.106
Fe 1,3310.4902,3.2515,1.0,-1.04,8.23,-5.45,-7.73,0.14,0.905
Fe 1,3310.6401,3.241,1.0,-1.984,7.56,-4.29,-7.33,1.47,0.792
Cr 2,3310.6474,4.7812,1.0,-0.567,8.41,-6.49,-7.854,1.01,0.637
Sm 2,3310.66,0.2775,1.0,-0.51,0.0,0.0,0.0,1.52,0.145
Cr 2,3310.6617,4.9844,1.0,-0.929,8.44,-6.48,-7.856,0.64,0.385
Fe 1,3310.8463,3.6025,1.0,-1.256,7.9,-3.39,-7.14,1.55,0.852
Fe 1,3310.866,3.0173,1.0,-3.188,8.0,-4.72,-7.47,1.37,0.275
Nd 2,3310.897,0.2046,1.0,-0.73,0.0,0.0,0.0,0.42,0.152
Fe 1,3310.9066,3.417,1.0,-2.156,7.64,-5.2,-7.32,1.51,0.654
Os 1,3310.915,1.3676,1.0,-0.45,0.0,0.0,0.0,1.49,0.053
OH 1,3311.1445,1.5975,1.0,-1.776,0.0,0.0,0.0,99.0,0.176
Fe 1,3311.1951,3.0176,1.0,-2.215,8.0,-4.72,-7.47,0.28,0.791
Zr 2,3311.342,0.7097,1.0,-1.52,0.0,0.0,0.0,1.5,0.226
Fe 1,3311.4491,0.9901,1.0,-4.492,8.21,-5.91,-7.73,1.65,0.71
Co 1,3311.4866,2.8745,1.0,-1.289,8.38,-6.09,-7.76,1.47,0.123
Mn 1,3311.5771,4.6656,1.0,-0.286,8.22,-5.38,-7.43,1.23,0.112
Sc 2,3311.6981,3.6876,1.0,-0.12,8.72,-5.79,-7.7,1.01,0.062
Mn 1,3311.9013,2.1782,1.0,-1.71,6.8,-5.61,-7.789,1.79,0.591
Cr 2,3311.9296,4.1561,1.0,-0.808,8.37,-6.49,-7.871,1.04,0.754
OH 1,3312.0544,1.4937,1.0,-2.157,0.0,0.0,0.0,99.0,0.095
Cr 1,3312.0843,2.7088,1.0,-1.725,6.94,-5.49,-7.78,1.15,0.13
Co 1,3312.15,1.9557,1.0,-0.796,7.9,-6.14,-7.8,1.21,0.811
Cr 2,3312.1787,4.1433,1.0,-0.874,8.37,-6.49,-7.871,0.8,0.741
Ce 2,3312.2172,1.1031,1.0,0.01,0.0,0.0,0.0,0.96,0.084
Fe 1,3312.2225,2.9904,1.0,-1.706,7.92,-5.63,-7.73,1.2,0.875
Co 1,3312.2652,2.28,1.0,-1.189,8.38,-5.61,-7.74,1.51,0.435
Ni 1,3312.3183,3.4195,1.0,0.288,8.24,-5.04,-7.53,1.12,0.914
Er 2,3312.426,0.0546,1.0,-0.03,0.0,0.0,0.0,1.36,0.543
Sm 2,3312.43,0.1846,1.0,-0.78,0.0,0.0,0.0,1.72,0.096
Fe 1,3312.5918,3.6025,1.0,-2.258,7.74,-3.45,-7.11,1.74,0.485
Fe 2,3312.6639,1.0762,1.0,-5.189,8.47,-6.5,-7.898,1.99,0.682
Ti 1,3312.69,2.1029,1.0,-0.05,8.64,-5.44,-7.66,0.99,0.545
Fe 1,3312.6978,2.8581,1.0,-1.564,8.26,-5.8,-7.73,1.27,0.899
Dy 2,3312.72,0.5382,1.0,-0.366,0.0,0.0,0.0,1.2,0.159
Sc 2,3312.7209,3.6977,1.0,0.15,8.72,-5.79,-7.7,1.16,0.11
Cr 1,3312.7262,3.5561,1.0,-1.243,8.34,-5.79,-7.71,1.15,0.062
Co 1,3312.8261,2.9275,1.0,-0.082,8.16,-5.1,-7.46,1.8,0.71
Ti 2,3312.9296,1.2214,1.0,-2.06,8.45,-6.55,-7.83,2.3,0.827
Mn 1,3312.9851,4.6854,1.0,-0.399,8.3,-5.38,-7.54,0.7,0.083
Ni 1,3312.9915,3.5972,1.0,-0.193,8.25,-4.55,-7.51,1.36,0.861
Cr 2,3313.0689,4.7812,1.0,-1.011,8.45,-6.49,-7.846,1.08,0.437
Co 1,3313.1189,3.1285,1.0,-0.521,8.27,-5.28,-7.53,0.78,0.337
Nd 2,3313.144,0.3206,1.0,-0.76,0.0,0.0,0.0,1.48,0.109
