Wavelength,Ext1,Ext2,Ext3,ext1_norm,ext2_norm
5250.2084,0.07035175879396978,0.08442211055276373,0.43734693877551023,0.0,0.0
5250.6453,0.07035175879396978,0.08442211055276373,0.43734693877551023,0.0,0.0
5379.5734,0.0683417085427135,0.08291457286432152,0.43734693877551023,0.0,0.0
5381.0216,0.0683417085427135,0.08291457286432152,0.43734693877551023,0.0,0.0
5382.2562,0.0683417085427135,0.08291457286432152,0.43734693877551023,0.0,0.0
5383.368,0.0683417085427135,0.08291457286432152,0.43734693877551023,0.0,0.0
5432.546,0.06783919597989943,0.08391959798994966,0.43734693877551023,0.0,0.0
5432.947,0.06783919597989943,0.08391959798994966,0.43734693877551023,0.0,0.0
5434.5232,0.06783919597989943,0.08391959798994966,0.43734693877551023,0.0,0.0
5435.8577,0.06783919597989943,0.08391959798994966,0.43734693877551023,0.0,0.0
5436.2945,0.06783919597989943,0.08391959798994966,0.43734693877551023,0.0,0.0
5436.5875,0.06783919597989943,0.08391959798994966,0.43734693877551023,0.0,0.0
5576.0881,0.06683417085427129,0.08291457286432152,0.4279591836734694,0.0,0.0
5578.718,0.06683417085427129,0.08341708542713559,0.4279591836734694,0.0,0.0
6149.246,0.057788944723618035,0.07688442211055269,0.4091836734693878,0.0,0.0
6151.617,0.057788944723618035,0.07688442211055269,0.4091836734693878,0.0,0.0
6169.042,0.056783919597989896,0.0748743718592964,0.4091836734693878,0.0,0.0
6169.563,0.056783919597989896,0.0748743718592964,0.4091836734693878,0.0,0.0
6170.5056,0.056783919597989896,0.0748743718592964,0.4091836734693878,0.0,0.0
6173.3344,0.056783919597989896,0.0748743718592964,0.4091836734693878,0.0,0.0
6301.5008,0.05477386934673362,0.07386934673366827,0.39979591836734696,0.0,0.0
6302.4932,0.05477386934673362,0.07386934673366827,0.39979591836734696,0.0,0.0
