wavelength,u1,u2,law_4u1,law_4u2,law_4u3,law_4u4
5250.2084,0.30118906253575317,0.5747559973534848,1.7902341083338709,-3.119997981012026,3.8361200706515617,-1.5065162192764212
5250.6453,0.30118906253575317,0.5747559973534848,1.7902341083338709,-3.119997981012026,3.8361200706515617,-1.5065162192764212
5379.5734,0.2672852624477189,0.6018063242750283,1.889183602903174,-3.3526383232429895,4.048604483010678,-1.5853217248306617
5381.0216,0.2672852624477189,0.6018063242750283,1.889183602903174,-3.3526383232429895,4.048604483010678,-1.5853217248306617
5382.2562,0.2672852624477189,0.6018063242750283,1.889183602903174,-3.3526383232429895,4.048604483010678,-1.5853217248306617
5383.368,0.2672852624477189,0.6018063242750283,1.889183602903174,-3.3526383232429895,4.048604483010678,-1.5853217248306617
5432.546,0.26135397334871924,0.6062037521058206,1.911687226596238,-3.408065456221614,4.098669125712852,-1.6024651230581783
5432.947,0.26135397334871924,0.6062037521058206,1.911687226596238,-3.408065456221614,4.098669125712852,-1.6024651230581783
5434.5232,0.26135397334871924,0.6062037521058206,1.911687226596238,-3.408065456221614,4.098669125712852,-1.6024651230581783
5435.8577,0.26135397334871924,0.6062037521058206,1.911687226596238,-3.408065456221614,4.098669125712852,-1.6024651230581783
5436.2945,0.26135397334871924,0.6062037521058206,1.911687226596238,-3.408065456221614,4.098669125712852,-1.6024651230581783
5436.5875,0.26135397334871924,0.6062037521058206,1.911687226596238,-3.408065456221614,4.098669125712852,-1.6024651230581783
5576.0881,0.22576905770156058,0.6345553699930853,2.0102561269436428,-3.6255895090491137,4.281175825868722,-1.6660268866420462
5578.718,0.22332841847050505,0.6352073625767393,2.040979676936589,-3.716207028629102,4.371357177597579,-1.6963171987906918
6149.246,0.12120474982055224,0.7154922811773006,2.353394532534875,-4.449518444225363,5.027837733353857,-1.9319376519567235
6151.617,0.12120474982055224,0.7154922811773006,2.353394532534875,-4.449518444225363,5.027837733353857,-1.9319376519567235
6169.042,0.11499511244661534,0.7194088104608171,2.38614970929571,-4.530747081424787,5.096313941601231,-1.9519427125017268
6169.563,0.11499511244661534,0.7194088104608171,2.38614970929571,-4.530747081424787,5.096313941601231,-1.9519427125017268
6170.5056,0.11499511244661534,0.7194088104608171,2.38614970929571,-4.530747081424787,5.096313941601231,-1.9519427125017268
6173.3344,0.11499511244661534,0.7194088104608171,2.38614970929571,-4.530747081424787,5.096313941601231,-1.9519427125017268
6301.5008,0.1008247245652916,0.7315504484521994,2.4143723732263833,-4.5903818090306645,5.1516984389248455,-1.9759195090898367
6302.4932,0.1008247245652916,0.7315504484521994,2.4143723732263833,-4.5903818090306645,5.1516984389248455,-1.9759195090898367
