Wavelength,Ext1,Ext2,min_ext1_norm
5250.2084,0.12714285714285722,0.24793103448275827,0.11530612244897949
5250.6453,0.12714285714285722,0.24793103448275827,0.11530612244897949
5379.5734,0.12000000000000009,0.24999999999999964,0.10714285714285705
5381.0216,0.12000000000000009,0.24999999999999964,0.10714285714285705
5382.2562,0.12000000000000009,0.24999999999999964,0.10714285714285705
5383.368,0.12000000000000009,0.24999999999999964,0.10714285714285705
5432.546,0.12000000000000009,0.24379310344827554,0.10714285714285705
5432.947,0.12000000000000009,0.24379310344827554,0.10714285714285705
5434.5232,0.12000000000000009,0.24379310344827554,0.10714285714285705
5435.8577,0.12000000000000009,0.24379310344827554,0.10714285714285705
5436.2945,0.12000000000000009,0.24379310344827554,0.10714285714285705
5436.5875,0.12000000000000009,0.24379310344827554,0.10714285714285705
5576.0881,0.11714285714285723,0.23758620689655144,0.10510204081632644
5578.718,0.11714285714285723,0.23758620689655144,0.10510204081632644
6149.246,0.09571428571428575,0.2086206896551723,0.08265306122448975
6151.617,0.09571428571428575,0.2086206896551723,0.08265306122448975
6169.042,0.09428571428571432,0.2210344827586205,0.08265306122448975
6169.563,0.09428571428571432,0.2210344827586205,0.08265306122448975
6170.5056,0.09428571428571432,0.2210344827586205,0.08265306122448975
6173.3344,0.09428571428571432,0.2210344827586205,0.08265306122448975
6301.5008,0.09142857142857146,0.2024137931034482,0.08061224489795914
6302.4932,0.09142857142857146,0.2024137931034482,0.08061224489795914
