wavelength,u1,u2
5250.2084,0.5050919111767983,0.225140742927282
5250.6453,0.5050919111767983,0.225140742927282
5379.5734,0.48269100450172925,0.2242396031393438
5381.0216,0.48269100450172925,0.2242396031393438
5382.2562,0.48269100450172925,0.2242396031393438
5383.368,0.48269100450172925,0.2242396031393438
5432.546,0.48269100450172925,0.2242396031393438
5432.947,0.48269100450172925,0.2242396031393438
5434.5232,0.48269100450172925,0.2242396031393438
5435.8577,0.48269100450172925,0.2242396031393438
5436.2945,0.48269100450172925,0.2242396031393438
5436.5875,0.48269100450172925,0.2242396031393438
5576.0881,0.4604571579481495,0.23163917288484107
5578.718,0.4604571579481495,0.23163917288484107
6149.246,0.4086584830501638,0.23943123148917336
6151.617,0.4086584830501638,0.23943123148917336
6169.042,0.4086584830501638,0.23943123148917336
6169.563,0.4086584830501638,0.23943123148917336
6170.5056,0.4086584830501638,0.23943123148917336
6173.3344,0.4086584830501638,0.23943123148917336
6301.5008,0.391192302730596,0.23209358438481228
6302.4932,0.391192302730596,0.23209358438481228
15652.79,0.21215886481457286,0.2293052454736507
