line,optimized_depth
FeI_5250.2,0.7635794042023077
FeI_5250.6,0.8236576653717478
FeI_5379,0.6505200960383885
TiII_5381,0.5945182251788491
FeI_5382,0.2360791547234962
FeI_5383,0.8439837292977859
MnI_5432,0.3615054605299005
FeI_5432,0.6634046107757036
FeI_5434,0.8746018526852316
NiI_5435,0.5773021440567546
FeI_5436.3,0.4436873192505936
FeI_5436.6,0.5118032235175266
FeI_5576,0.7980919899687775
NiI_5578,0.5788797768192236
FeII_6149,0.35992783214432333
FeI_6151,0.5359421177510916
CaI_6169.0,0.693036152235988
CaI_6169.5,0.7416537956184996
FeI_6170,0.6030986720501315
FeI_6173,0.6423971033641611
FeI_6301,0.7354679184664469
FeI_6302,0.6717961585837067
