Key,Value
5250.2084,0.14789473684210527
5250.6453,0.14789473684210527
5379.5734,0.14210526315789473
5381.0216,0.14210526315789473
5382.2562,0.14210526315789473
5383.368,0.14210526315789473
5432.546,0.14210526315789473
5432.947,0.14210526315789473
5434.5232,0.14210526315789473
5435.8577,0.14210526315789473
5436.2945,0.14210526315789473
5436.5875,0.14210526315789473
5576.0881,0.14210526315789473
5578.718,0.14210526315789473
6149.246,0.12473684210526316
6151.617,0.12473684210526316
6169.042,0.12473684210526316
6169.563,0.11894736842105263
6170.5056,0.11894736842105263
6173.3344,0.11894736842105263
6301.5008,0.11894736842105263
6302.4932,0.11894736842105263
