wavelength,u1,u2
5250.2084,0.5277109490113127,0.19468571749582048
5250.6453,0.5277109490113127,0.19468571749582048
5379.5734,0.5063214563774494,0.20073888420682456
5381.0216,0.5063214563774494,0.20073888420682456
5382.2562,0.5063214563774494,0.20073888420682456
5383.368,0.5063214563774494,0.20073888420682456
5432.546,0.5031909678496375,0.20043698221143205
5432.947,0.5031909678496375,0.20043698221143205
5434.5232,0.5031909678496375,0.20043698221143205
5435.8577,0.5031909678496375,0.20043698221143205
5436.2945,0.5031909678496375,0.20043698221143205
5436.5875,0.5031909678496375,0.20043698221143205
5576.0881,0.4808139120957836,0.2066277613563224
5578.718,0.4816393063827151,0.2017998318703528
6149.246,0.41939276664064784,0.21517681591468668
6151.617,0.41939276664064784,0.21517681591468668
6169.042,0.4173703022472997,0.2120678879800377
6169.563,0.4173703022472997,0.2120678879800377
6170.5056,0.4173703022472997,0.2120678879800377
6173.3344,0.4173703022472997,0.2120678879800377
6301.5008,0.4069043692461592,0.2179939968245861
6302.4932,0.4069043692461592,0.2179939968245861
