wavelength,u1,u2
5250.2084,0.5353648459763816,0.1895460349315057
5250.6453,0.5353648459763816,0.1895460349315057
5379.5734,0.5138140706676552,0.19578179614660635
5381.0216,0.5138140706676552,0.19578179614660635
5382.2562,0.5138140706676552,0.19578179614660635
5383.368,0.5138140706676552,0.19578179614660635
5432.546,0.5105900133341478,0.1955794258592882
5432.947,0.5105900133341478,0.1955794258592882
5434.5232,0.5105900133341478,0.1955794258592882
5435.8577,0.5105900133341478,0.1955794258592882
5436.2945,0.5105900133341478,0.1955794258592882
5436.5875,0.5105900133341478,0.1955794258592882
5576.0881,0.48793710412259994,0.20200604243901205
5578.718,0.4887393258024834,0.19718629258447284
6149.246,0.42566335220523394,0.21135888387354335
6151.617,0.42566335220523394,0.21135888387354335
6169.042,0.4235431959365316,0.20838820866043684
6169.563,0.4235431959365316,0.20838820866043684
6170.5056,0.4235431959365316,0.20838820866043684
6173.3344,0.4235431959365316,0.20838820866043684
6301.5008,0.41303862218715554,0.21436175567411217
6302.4932,0.41303862218715554,0.21436175567411217
15652.79,0.08781712683816259,0.2775678333322025
