wavelength,u1,u2
5250.2084,0.39481068813987247,0.27067173668261285
5250.6453,0.39481068813987247,0.27067173668261285
5379.5734,0.37931226373450894,0.27093060224870397
5381.0216,0.37931226373450894,0.27093060224870397
5382.2562,0.37931226373450894,0.27093060224870397
5383.368,0.37931226373450894,0.27093060224870397
5432.546,0.37679600760114645,0.2702650171764446
5432.947,0.37679600760114645,0.2702650171764446
5434.5232,0.37679600760114645,0.2702650171764446
5435.8577,0.37679600760114645,0.2702650171764446
5436.2945,0.37679600760114645,0.2702650171764446
5436.5875,0.37679600760114645,0.2702650171764446
5576.0881,0.36103090089944023,0.27040073922427926
5578.718,0.36212866038177977,0.26572149583497573
6149.246,0.3163873103591838,0.2646049556028086
6151.617,0.3163873103591838,0.2646049556028086
6169.042,0.3156392835930031,0.260378271235019
6169.563,0.3156392835930031,0.260378271235019
6170.5056,0.3156392835930031,0.260378271235019
6173.3344,0.3156392835930031,0.260378271235019
6301.5008,0.3068798102581188,0.26465109585507074
6302.4932,0.3068798102581188,0.26465109585507074
