wavelength,u1,u2
4292.473,0.7626853676779124,0.03357100051132753
4492.473,0.667477229090791,0.1390562661806967
4692.473,0.6181835912782514,0.16793736741306345
4892.473,0.5305861804868518,0.22522760624748492
5092.473,0.5555859541057326,0.18607303309538042
5292.473,0.5198814603586585,0.19651812098632096
5492.473,0.4953451713979714,0.20038812143158088
5692.473,0.4686364956981849,0.2083440353317643
5892.473,0.4523879991468072,0.2012692891871201
6092.473,0.430058346278091,0.2156688638243012
6292.473,0.4091538915481196,0.22175158401172476
6492.473,0.38430009366273066,0.22530070148965492
6692.473,0.3755567822205614,0.22467100542690177
6892.473,0.3640814793395184,0.22091904316681704
7092.473,0.35262914622953223,0.21896912957629275
7292.473,0.33976532056467046,0.21478416953742877
7492.473,0.32627407642276435,0.22000075836246108
7692.473,0.31430147500545963,0.22008693859504008
7892.473,0.3058177011856762,0.22220106715050622
8092.473,0.2988013933309612,0.2177873244472674
8292.473,0.2904641693694253,0.21929852450073997
8492.473,0.28228191032796984,0.21037993059217577
8692.473,0.2740183721557422,0.21246306721720412
8892.473,0.26487912857654233,0.21941219552604077
9092.473,0.2611233663094106,0.20795518496897655
9292.473,0.26366305967866177,0.21455686787697606
