Wavelength,ext1,ext2
5250.2084,0.15252525252525287,0.16262626262626304
5250.6453,0.15252525252525287,0.16262626262626304
5379.5734,0.14747474747474779,0.15858585858585897
5381.0216,0.14747474747474779,0.15858585858585897
5382.2562,0.14747474747474779,0.15858585858585897
5383.368,0.14747474747474779,0.15858585858585897
5432.546,0.14747474747474779,0.15757575757575795
5432.947,0.14747474747474779,0.15757575757575795
5434.5232,0.14747474747474779,0.15757575757575795
5435.8577,0.14747474747474779,0.15757575757575795
5436.2945,0.14747474747474779,0.15757575757575795
5436.5875,0.14747474747474779,0.15757575757575795
5576.0881,0.14343434343434372,0.15353535353535389
5578.718,0.14444444444444474,0.1545454545454549
6149.246,0.12222222222222237,0.13232323232323254
6151.617,0.12222222222222237,0.13232323232323254
6169.042,0.12020202020202034,0.13131313131313152
6169.563,0.12020202020202034,0.13131313131313152
6170.5056,0.12020202020202034,0.13131313131313152
6173.3344,0.12020202020202034,0.13131313131313152
6301.5008,0.11616161616161627,0.12626262626262644
6302.4932,0.11616161616161627,0.12626262626262644
